"","run","nPartitions","nTaxa","partitionSeqLength","totalSitePatterns","nCPU","instances","beagle","nGPU","time(minutes)"
"33",33,1,20,500,409,8,"false","beagle_SSE",0,0.349683333333333
"14",50,1,20,1000,797,8,"true","beagle_CPU",0,0.624266666666667
"12",84,1,20,3000,2208,6,"true","beagle_SSE",0,1.57813333333333
"331",141,1,20,9000,6245,8,"false","beagle_SSE",0,4.42773333333333
"26",170,1,250,500,437,4,"false","beagle_CPU",0,2.21751666666667
"32",212,1,250,1000,864,8,"false","beagle_CPU",0,3.86353333333333
"141",230,1,250,3000,2518,8,"true","beagle_CPU",0,11.0183
"11",263,1,250,9000,7378,6,"true","beagle_CPU",0,27.6201166666667
"27",315,1,1000,500,455,4,"false","beagle_SSE",0,11.6735166666667
"142",338,1,1000,1000,892,8,"true","beagle_CPU",0,19.6066166666667
"21",381,1,1000,3000,2583,1,"false","beagle_SSE",0,48.56745
"111",407,1,1000,9000,7757,6,"true","beagle_CPU",0,133.55
"332",465,3,20,100,270,8,"false","beagle_SSE",0,0.5695
"333",573,3,20,500,1222,8,"false","beagle_SSE",0,1.03378333333333
"121",660,3,20,1000,2362,6,"true","beagle_SSE",0,1.3117
"321",788,3,100,100,271,8,"false","beagle_CPU",0,1.12516666666667
"29",893,3,100,500,1304,6,"false","beagle_CPU",0,2.323
"8",980,3,100,1000,2516,4,"true","beagle_CPU",0,5.0476
"334",1113,3,250,100,275,8,"false","beagle_SSE",0,3.185
"335",1221,3,250,500,1303,8,"false","beagle_SSE",0,6.79706666666667
"30",1326,3,250,1000,2596,6,"false","beagle_SSE",0,8.93386666666667
"7",475,6,20,100,530,4,"true","java",0,0.858383333333333
"143",590,6,20,500,2439,8,"true","beagle_CPU",0,1.84648333333333
"144",698,6,20,1000,4719,8,"true","beagle_CPU",0,2.31583333333333
"10",802,6,100,100,539,6,"true","java",0,2.43428333333333
"322",932,6,100,500,2581,8,"false","beagle_CPU",0,4.54513333333333
"336",1041,6,100,1000,4994,8,"false","beagle_SSE",0,6.94006666666667
"28",1144,6,250,100,549,6,"false","java",0,3.27536666666667
"145",1238,6,250,500,2610,8,"true","beagle_CPU",0,10.5191333333333
"13",1345,6,250,1000,5201,8,"true","java",0,16.2338166666667
"25",529,9,20,100,781,4,"false","java",0,1.03931666666667
"9",621,9,20,500,3647,4,"true","beagle_SSE",0,2.21033333333333
"112",731,9,20,1000,7017,6,"true","beagle_CPU",0,2.47581666666667
"81",836,9,100,100,807,4,"true","beagle_CPU",0,2.6381
"122",948,9,100,500,3857,6,"true","beagle_SSE",0,5.91888333333333
"146",1058,9,100,1000,7508,8,"true","beagle_CPU",0,11.27535
"91",1161,9,250,100,825,4,"true","beagle_SSE",0,6.05693333333333
"147",1274,9,250,500,3923,8,"true","beagle_CPU",0,13.0279666666667
"15",1383,9,250,1000,7780,8,"true","beagle_SSE",0,21.4329333333333
